1,16
2,16
3,16
4,16
5,16
6,16
7,16
8,16
9,16
9,16
9,16
9,17
9,18
8,18
7,18
6,18
5,18
4,18
3,18
2,18
2,18
2,18
2,18
2,18
2,18
2,17
2,16
1,16
0,16
27,16
26,16
25,16
24,16
23,16
22,16
21,16
20,16
19,16
18,16
18,16
18,17
18,18
17,18
16,18
15,18
14,18
13,18
12,18
11,18
10,18
11,18
12,18
13,18
14,18
15,18
16,18
17,18
18,18
19,18
20,18
21,18
22,18
23,18
24,18
25,18
25,17
25,16
24,16
23,16
22,16
21,16
21,15
21,14
22,14
23,14
24,14
25,14
25,15
25,16
25,15
25,14
25,13
25,12
24,12
23,12
23,11
23,10
22,10
21,10
21,11
21,12
20,12
19,12
19,13
19,14
19,14
18,14
18,14
18,13
18,12
18,13
18,14
18,15
18,14
18,13
18,12
17,12
16,12
15,12
14,12
13,12
12,12
11,12
10,12
9,12
9,13
9,14
9,15
9,14
9,13
8,13
8,13
8,13
8,14
8,14
8,14
8,14
8,13
8,12
7,12
6,12
6,12
6,11
6,10
5,10
4,10
4,10
5,10
6,10
7,10
8,10
8,9
8,8
7,8
6,8
5,8
4,8
3,8
2,8
2,8
2,9
2,10
2,11
2,12
2,13
2,14
3,14
4,14
5,14
6,14
6,15
6,16
5,16
4,16
3,16
2,16
2,15
2,14
2,13
2,12
3,12
4,12
4,11
4,10
4,10
4,10
5,10
6,10
7,10
8,10
8,9
8,8
7,8
6,8
6,7
6,6
6,6
5,6
4,6
4,7
4,6
4,5
4,4
3,4
2,4
2,4
2,4
2,3
2,2
3,2
4,2
5,2
6,2
6,3
6,4
5,4
4,4
4,5
4,6
3,6
2,6
2,6
2,7
2,8
2,9
2,10
2,11
2,12
2,13
2,14
2,15
2,16
2,17
2,18
3,18
4,18
4,19
4,20
4,21
4,22
4,22
3,22
2,22
2,21
2,20
3,20
4,20
4,19
4,18
5,18
6,18
7,18
8,18
8,19
8,20
8,21
8,22
7,22
6,22
6,21
6,20
7,20
8,20
9,20
10,20
10,21
10,22
10,23
10,24
10,25
10,26
11,26
12,26
12,27
12,28
11,28
10,28
9,28
8,28
7,28
6,28
5,28
4,28
3,28
2,28
2,27
2,26
2,25
2,24
2,24
3,24
4,24
4,25
4,26
4,27
4,26
4,25
4,24
4,24
4,24
4,24
4,24
4,24
4,25
4,26
4,27
4,28
5,28
6,28
7,28
8,28
9,28
8,28
7,28
6,28
5,28
4,28
4,27
4,26
5,26
6,26
7,26
8,26
8,25
8,24
7,24
6,24
6,25
6,26
6,25
6,24
7,24
8,24
8,23
8,22
8,21
8,20
9,20
10,20
11,20
12,20
13,20
14,20
15,20
16,20
17,20
18,20
19,20
19,19
19,20
19,21
19,22
19,23
19,24
19,25
19,26
20,26
21,26
21,25
21,24
20,24
19,24
19,24
19,25
19,26
20,26
21,26
22,26
23,26
23,27
23,28
24,28
25,28
25,27
25,26
25,25
25,24
25,24
24,24
23,24
23,25
23,26
23,27
23,28
23,28
22,28
21,28
20,28
19,28
18,28
17,28
16,28
15,28
14,28
13,28
12,28
13,28
14,28
15,28
15,27
15,26
14,26
13,26
12,26
13,26
14,26
15,26
16,26
17,26
16,26
15,26
14,26
13,26
12,26
12,25
12,24
12,24
13,24
14,24
15,24
15,25
15,26
15,27
15,28
16,28
17,28
18,28
19,28
18,28
17,28
16,28
15,28
15,27
15,26
16,26
17,26
17,25
17,24
17,23
17,22
17,21
17,20
16,20
15,20
15,21
15,22
15,22
14,22
13,22
12,22
12,22
12,21
12,20
13,20
14,20
15,20
16,20
17,20
18,20
19,20
20,20
21,20
21,20
21,21
21,22
20,22
19,22
19,23
19,24
19,25
19,24
19,23
19,22
19,21
19,20
19,19
19,18
20,18
21,18
22,18
23,18
23,19
23,20
23,21
23,22
24,22
25,22
25,21
25,20
24,20
23,20
23,19
23,18
23,18
23,18
24,18
25,18
25,17
25,16
25,15
25,14
25,13
25,12
25,11
25,10
25,9
25,8
24,8
23,8
22,8
21,8
20,8
19,8
19,9
19,10
19,10
20,10
21,10
20,10
19,10
19,10
19,9
19,8
20,8
21,8
21,7
21,6
22,6
23,6
24,6
25,6
25,6
25,6
25,6
24,6
23,6
23,7
23,8
23,8
23,7
23,6
24,6
25,6
25,7
25,6
25,6
25,6
24,6
23,6
23,5
23,4
22,4
21,4
21,3
21,2
21,2
22,2
23,2
24,2
25,2
25,3
25,4
24,4
23,4
22,4
21,4
21,4
21,4
22,4
23,4
23,5
23,6
23,7
23,8
22,8
21,8
20,8
19,8
19,7
19,6
19,5
19,4
19,3
19,2
18,2
17,2
17,2
17,3
17,4
18,4
19,4
19,4
18,4
17,4
17,5
17,6
17,7
17,8
16,8
15,8
14,8
13,8
12,8
11,8
10,8
10,8
11,8
12,8
12,9
12,10
11,10
10,10
10,10
10,11
10,12
10,11
10,10
11,10
12,10
13,10
14,10
15,10
16,10
17,10
17,10
17,11
17,10
17,10
17,10
16,10
15,10
15,9
15,8
14,8
13,8
12,8
11,8
10,8
10,7
10,6
10,5
10,4
9,4
8,4
8,5
8,6
8,7
8,6
8,5
8,4
8,3
8,2
8,2
9,2
10,2
10,3
10,4
11,4
12,4
12,3
12,2
13,2
14,2
15,2
15,3
15,4
14,4
13,4
14,4
15,4
16,4
15,4
14,4
13,4
12,4
12,5
12,6
13,6
14,6
15,6
15,5
